Day of Month,Total Claims,Rejected Claims,Rejection Rate %,Total Value SAR
1,2238,711,31.8%,"14,278,909.30"
2,355,46,13.0%,"6,625,129.63"
3,341,48,14.1%,"6,158,093.14"
4,360,53,14.7%,"6,481,204.62"
5,6552,547,8.3%,"9,001,203.00"
6,3711,397,10.7%,"15,635,783.46"
7,550,93,16.9%,"3,302,171.78"
8,87,6,6.9%,"3,936,401.63"
9,496,60,12.1%,"2,342,808.17"
10,388,40,10.3%,"6,506,872.30"
11,466,58,12.4%,"3,792,451.35"
12,289,52,18.0%,"3,427,833.66"
13,385,67,17.4%,"2,043,286.76"
14,494,52,10.5%,"14,263,751.95"
15,104,16,15.4%,"5,461,649.03"
16,322,46,14.3%,"3,076,479.56"
17,519,61,11.8%,"14,830,848.41"
18,344,35,10.2%,"3,524,676.63"
19,414,45,10.9%,"5,968,593.51"
20,362,56,15.5%,"4,853,415.45"
21,319,51,16.0%,"4,059,115.54"
22,79,6,7.6%,"1,478,654.07"
23,352,55,15.6%,"2,936,282.85"
24,346,48,13.9%,"4,217,634.33"
25,343,37,10.8%,"11,307,391.59"
26,316,51,16.1%,"2,525,096.62"
27,332,47,14.2%,"4,101,883.37"
28,287,42,14.6%,"2,549,109.01"
29,67,12,17.9%,"561,859.47"
30,348,39,11.2%,"2,852,009.34"
31,315,56,17.8%,"1,858,022.36"
