Date,Claim_Count,Total_Claimed,Total_Approved,Loss_Amount,Loss_Rate
2025-08-01,42,369385.53,216120.61,153264.92000000004,41.49
2025-08-02,295,6625129.63,5729780.29,895349.3399999999,13.51
2025-08-03,264,6158093.14,3311771.68,2846321.4599999995,46.22
2025-08-04,288,6481204.62,3982977.14,2498227.48,38.55
2025-08-05,6485,9001203.0,5131342.49,3869860.51,42.99
2025-08-06,3616,15635783.46,9097303.34,6538480.120000001,41.82
2025-08-07,458,3302171.78,1888497.88,1413673.9,42.81
2025-08-08,76,3936401.63,2439717.89,1496683.7399999998,38.02
2025-08-09,429,2342808.17,1704993.18,637814.99,27.22
2025-08-10,328,6506872.3,2592115.36,3914756.94,60.16
2025-08-11,391,3792451.35,2482886.82,1309564.5300000003,34.53
2025-08-12,241,3427833.66,2023310.93,1404522.7300000002,40.97
2025-08-13,319,2043286.76,1195604.78,847681.98,41.49
2025-08-14,418,14263751.95,5055699.47,9208052.48,64.56
2025-08-15,87,5461649.03,3488374.82,1973274.2100000004,36.13
2025-08-16,253,3076479.56,1911379.61,1165099.95,37.87
2025-08-17,433,14830848.41,1283588.85,13547259.56,91.35
2025-08-18,267,3524676.63,1534030.14,1990646.49,56.48
2025-08-19,353,5968593.51,4253431.37,1715162.1399999997,28.74
2025-08-20,269,4853415.45,3886046.06,967369.3900000001,19.93
2025-08-21,252,4059115.54,2401146.82,1657968.7200000002,40.85
2025-08-22,71,1478654.07,1154374.21,324279.8600000001,21.93
2025-08-23,267,2936282.85,2223819.26,712463.5900000003,24.26
2025-08-24,282,4217634.33,3016832.04,1200802.29,28.47
2025-08-25,299,11307391.59,7837034.27,3470357.3200000003,30.69
2025-08-26,256,2525096.62,1196313.79,1328782.83,52.62
2025-08-27,257,4101883.37,2657546.7,1444336.67,35.21
2025-08-28,238,2549109.01,1884353.81,664755.1999999997,26.08
2025-08-29,65,561859.47,316256.38,245603.08999999997,43.71
2025-08-30,294,2852009.34,1896481.56,955527.7799999998,33.5
2025-08-31,256,1858022.36,1129198.3,728824.06,39.23
2025-09-01,2078,13909523.77,8398222.27,5511301.5,39.62
